fact_id,sk_instrutor,sk_aula,semana_data,lotacao_aula,avaliacao_media_aula,n_planos_seguidos,avaliacao_media_treino
1,9,1,2025-09-01,0.375,2.3333333333333335,8,3.6666666666666665
2,7,2,2025-09-01,0.325,4.0,20,2.875
3,4,3,2025-09-01,0.425,2.4,23,2.3333333333333335
4,6,4,2025-09-01,0.375,3.0,20,3.25
5,8,5,2025-09-01,0.4,3.142857142857143,22,3.5555555555555554
6,10,6,2025-09-01,0.375,4.333333333333333,6,3.0
7,1,7,2025-09-01,0.325,3.3333333333333335,30,3.5555555555555554
8,5,8,2025-09-01,0.3,3.4,23,3.75
9,2,9,2025-09-01,0.225,2.0,5,3.0
10,3,10,2025-09-01,0.325,2.6,29,2.7
11,9,1,2025-09-08,0.45,2.5,9,3.5
12,7,2,2025-09-08,0.425,3.7142857142857144,23,2.8181818181818183
13,4,3,2025-09-08,0.175,1.5,20,2.875
14,6,4,2025-09-08,0.325,4.5,19,2.0
15,8,5,2025-09-08,0.625,3.0,12,3.142857142857143
16,10,6,2025-09-08,0.4,3.5,9,2.75
17,1,7,2025-09-08,0.575,2.5,20,2.5714285714285716
18,5,8,2025-09-08,0.175,2.5,22,3.5
19,2,9,2025-09-08,0.375,3.8,9,3.8333333333333335
20,3,10,2025-09-08,0.3,4.5,28,3.3
21,9,1,2025-09-15,0.375,4.0,11,3.4
22,7,2,2025-09-15,0.375,3.4285714285714284,16,3.25
23,4,3,2025-09-15,0.275,3.6,20,2.6
24,6,4,2025-09-15,0.15,1.0,20,3.0
25,8,5,2025-09-15,0.35,3.4,18,2.75
26,10,6,2025-09-15,0.375,2.3333333333333335,7,3.2
27,1,7,2025-09-15,0.375,3.4285714285714284,26,2.3076923076923075
28,5,8,2025-09-15,0.475,2.4444444444444446,26,3.4166666666666665
29,2,9,2025-09-15,0.325,2.0,8,2.6666666666666665
30,3,10,2025-09-15,0.35,3.4285714285714284,25,2.9166666666666665
31,9,1,2025-09-22,0.25,2.25,8,3.0
32,7,2,2025-09-22,0.475,2.0,19,2.7777777777777777
33,4,3,2025-09-22,0.4,2.4,22,2.4285714285714284
34,6,4,2025-09-22,0.375,4.166666666666667,19,2.3333333333333335
35,8,5,2025-09-22,0.325,3.5,20,3.0
36,10,6,2025-09-22,0.25,3.0,7,3.5
37,1,7,2025-09-22,0.15,2.0,24,3.1818181818181817
38,5,8,2025-09-22,0.3,2.0,25,3.5
39,2,9,2025-09-22,0.375,2.5,8,2.0
40,3,10,2025-09-22,0.3,3.0,25,3.4545454545454546
41,9,1,2025-09-29,0.425,3.25,4,2.5
42,7,2,2025-09-29,0.325,3.75,9,2.6
43,4,3,2025-09-29,0.4,2.2857142857142856,5,4.333333333333333
44,6,4,2025-09-29,0.35,3.6,9,4.0
45,8,5,2025-09-29,0.0,,4,2.6666666666666665
46,10,6,2025-09-29,0.0,,1,
47,1,7,2025-09-29,0.0,,17,4.2
48,5,8,2025-09-29,0.0,,8,1.0
49,2,9,2025-09-29,0.0,,1,1.0
50,3,10,2025-09-29,0.0,,19,2.857142857142857
